Review_Date,Author,Rating,Review_Title,Review,Review_Url
17 September 2016,miguelneto-74936,8," the beginning of one of the beloved saga the world.
","in 2001, in the film Harry Potter and the Sorcerer's Stone, began one of the best sagas of all time, based on the book of the same name by JK Rowling, the film hit full in the cast, all actors are great in their characters, Daniel Radcliffe this impeccable as Harry Potter, the resemblance is too large, Rupert Grint this great as Ron Weasley, Emma excellent Watson as Hermione Granger, Robbie Coltrane as Hagrid, Richard Harris as Dumbledore (which unfortunately from the third movie substituted series, having deceased), Maggie Smith, Alan Rickman great as Snape, Ian Hart, Tom Felton, and etc, all goods, the special effects are great, the picture is great, especially the castles, the soundtrack is very good, and full of great moments, as the final, obvious that the movie has errors, the script has some problems, and the film is very long, I think it was longer than it should, and the film is faithful to the book, even with some missing characters, Harry Potter and the Sorcerer's Stone is a very good film, and marks the beginning of the saga of the Wizard in the movies. Note 8.2",/review/rw1371192/?ref_=tt_urv
16 July 2014,ironhorse_iv,7," This movie set in stone, what would be the foundation of the Harry Potter film franchise. It kinda work.
","It's seem like just yesterday, when the movie about the boy whom lived, was about to come out. People were wondering if the Harry Potter's books by J.K Rowling could easily be translated into the big screen. Harry Potter and the Philosopher's Stone AKA Sorcerer's Stone directed by Chris Columbus, indeed show that it was somewhat possible. The story follows Harry Potter (Daniel Radcliffe)'s first year at Hogwarts School of Wizardry as he discovers his gift and destiny against the dark forces of magic. The movie like the other films are cut into two plots directions. One is about student life at Hogwarts during the school-year, while the other half is about the mystery that Harry Potter must uncovered that year. It works well as a long read novel, but in movie form: its means a long sit through. The movie pacing is so long. It takes forever to get to the main plot of Harry Potter finding the Philosopher Stone. There are is a lot of filler scenes that could be cut away. I dislike how the Philosopher Stone is one-time movie McGuffin. For the best of my knowledge, the Philosopher stone plays no factor after this movie, and never mention again after this film. The third act, mostly comes out of nowhere. The twist toward the end, was pretty predictable, if you readt the books, but pretty interesting. Another thing about the movie is how non-logical the movie is. It really baffled me, how much exposition, it needed. Even an hour in the film, there were a lot of random odd things happening without much explaining. It gets more confusing as long bits of the book, like the Centaur showing in the woods, were shorten in the film. It gets worst for the centaur, as he wouldn't play a factor, in any of the later films, despite, saving Harry Potter from Voldermort. Hermione Granger (Emma Watson) was also cut short. Her riddle solving in the book was cut from the film. Several minor characters have been removed from the film version, as well. Despite those, the movie is really close to the novel. In my opinion, don't bother, trying to understand the logic of all the wizard terms, because it will take you out of the fantasy movie, and give you a headache. Still, there were some really dumb things to nitpick here like why would Professor Dumbledore (Richard Harris), even allow Harry Potter to stay with the Dursley's family when he knows that they're horrible people. Honestly, the Dursleys could had killed Harry Potter with the childhood neglect! What was he thinking? Harry Potter could had commit suicide, or gone crazy like Lord Voldermort! What an idiot! The whole movie is about children being danger all the time. I don't care if they're wizards in training, I'm surprise that the death tolls of students dying isn't as high as it should be. The school staff is questionable at times. A good example of this stupidity, is punishing students whom went out at nights, by sending them out at nights in the dark forest, where they can get attacked by creatures. The most insulting thing in logic is the black/white one-dimensional view of good Vs evil. Honestly, how on earth is the members of Slytherin never got expulsion for all the bullies that it has? You would think, that at less, there would be one good person in Slytherin. Another thing that bugs me is the whole the power of love conquer all. I think, children are a lot smarter than the childish message, the film is trying to pull. The acting in the movie is pretty bland, for the most part. After all, most of the child actors had this film as their first roles. I wouldn't say that Harry Potter's film series, have the most entertaining of dialogues, anyways. The wooden delivery, felt like a read-through. Most of what they're saying are stating the obvious or repeating what happening on screen. It's so annoying. The other actors were master British thespians, who seem to over-act at times. A good example of this is John Hurt & Alan Rickman. It was too hammy for already over the top world. The action scenes were pretty well-done. My favorite had to be the Quidditch match and the whole chess game. I can do, without the whole troll scene. The CGI troll hasn't aged well. Visually, the movie is beautiful to look at. I love the special effects, locations & set, and costume, they did. It really made the Harry Potter world, stand out. The music by John Williams is amazing to listen to. I think director Chris Columbus was indeed the best choice for this first movie, as he got the magically part, right and how to make a family picture. You even see, how much things, he establish that other directors would reused time after time. Still, I really hope for Terry Gilliam like J.K Rowling's first choice to be the direction. The movie has great social commentary themes like the metaphor of racism, ethnic cleansing and why Nazism is bad. You can also see possible influences from other words, that made Harry Potter work. There was a few controversial moments leading up to the film, like religious debates. A few religious groups claim that Harry Potter contain occult or Satanic subtexts that isn't good for children. Another one is the use of the word, sorcerer over the word philosopher in the title. US & British have different meanings to the words, plus marketing though, it would better to call it sorcerer as that word get more appeal. Due to this different, all scenes that mention the philosopher's stone by name had to be reshot, once with the actors saying ""philosopher's"" and once with ""sorcerer's"". Overall: The movie might has its flaws, but majority, a great first watch for any fantasy fan.",/review/rw1371192/?ref_=tt_urv
12 November 2001,scmovieguy,," Pure cinematic magic
","To millions of children of all ages, November 16 has been more eagerly anticipated than Christmas, as the long-awaited film version of J. K. Rowling's beloved novel ""Harry Potter and the Sorceror's Stone"" hits the screen.",/review/rw1371192/?ref_=tt_urv
5 March 2016,Michael_Elliott,," Good Start to the Series
",Harry Potter and the Sorcerer's Stone (2001) ,/review/rw1371192/?ref_=tt_urv
5 June 2018,BiiivAL,9," ...Welcome to magic world
","The breeze stirred the neatly cut bushes of Tisovaya Street, silently lying under the ink-black sky. Of all the streets in the world, this street was the least suitable for amazing events. Harry Potter turned in his sleep. A small hand groped for it and squeezed the envelope. The boy was asleep ... ""(c)",/review/rw1371192/?ref_=tt_urv
18 December 2001,Movie-12,7," It's a true adaptation, but lacks an edge like the novel. *** (out of four)
",HARRY POTTER / (2001) *** (out of four),/review/rw1371192/?ref_=tt_urv
26 October 2016,ThomasDrufke,8," What a Brilliantly Fun Way to Begin a Monumental Franchise
","If for nothing else, the Harry Potter films always find a way to give me a great sense of nostalgia. I, like many others, grew up with this franchise. In many ways, this was our generation's Star Wars. It was the 2000's pop culture phenomena. I'm happy to say that the first film, The Sorcerer's Stone, still undoubtedly holds up.",/review/rw1371192/?ref_=tt_urv
31 March 2017,MuviFan73,8," Little errors that come out after watching first movie
",Platform number 9(3/4) would have been discovered easily by muggle world as train platform are not that empty.,/review/rw1371192/?ref_=tt_urv
17 May 2010,ma-cortes,7," First Harrry Potter entry in which he makes friends and battles mysterious evil forces
","First episode also known as ¨Harry Potter and the philosopher's stone¨ deal with Harry Potter (Daniel Radcliffe)and friends fighting dark forces in an amazing adventure . In this early installment of JK Rowling saga, our protagonist is freed by Rubeus from the custody of his selfish uncle (Richard Griffiths) and miserable aunt (Fiona Lewis). Harry goes his destiny at Hogwart's school , there meets our friends Ron(Rupert Grint) ,Hermione(Emma Watson) and his enemies Braco Malfoy(Tom Felton), along the dark forces which threatens Hogwart, and finally Lord Voldemor . Besides the professors as Minerva(Maggie Smith), Severus Snape(Alan Rickman), Dumbledore ( Richard Harris), Madame Hooch (Zoe Wanamaker), Quirinus (Ian Hart)and of course Rubeus(Robbie Coltrane). Here some legendary events take place , including a Quiddich match, and Harry Potter competes in confronting in series of dangerous happenings , challenging monsters as unicorn, centaur and horrible creatures and an ending spooky climatic battle .",/review/rw1371192/?ref_=tt_urv
1 July 2007,Smells_Like_Cheese,7," Harry Potter and the Sorcerer's Stone
","That's it! I give up! I surrender! White flag! My friends want to see the new Harry Potter that is about to be released this summer, The Order of Phoenix, but they looked at my like I just lost my head when I told them I never saw the Harry Potter films. They just said I've seen every movie yet I never saw Harry Potter? Well, I never saw the point since I don't read the books or wasn't interested in the films, it looked like typical kid's stuff to me. But my friends said they would not take me to see the movie until I've seen the films, it's now that I realize I got myself into trouble since these movies are all 2+ hours each. I just finished the first one a couple days ago.",/review/rw1371192/?ref_=tt_urv
3 August 2016,Leofwine_draca,7," Gem of a children's film and a fine adaptation of the Rowling novel
","Over-hyped but still enjoyable ""event"" movie, one of the biggest of 2001 until LORD OF THE RINGS comes out, and a film in which every million of the budget is put up on screen in the special effects. What I found most refreshing about this blockbuster is that the entire cast is made up of British actors and actresses! It makes a change for an expensive blockbuster movie to be thus but there you go, HARRY POTTER is indeed a unique movie. Now I'm not one of those people with lots of time on their hands to read the never-ending Harry Potter books (too busy watching cult movies I'm afraid), but the film has turned out pretty much as I would have expected from the adverts. Although it's overly sentimental (blame it on director Chris Columbus) and aimed at children, adults can still enjoy it for the excellent pacing (rarely does the two-and-a-half hour running time drag) and the plethora of special - and some not so special - effects on view throughout.",/review/rw1371192/?ref_=tt_urv
30 August 2019,undeaddt,7," Nice beginning to an amazing saga
","The right way to start a saga like this one, introducing the characters in a very positive and unique way, telling and showcasing all the riches that the wizard's world is a home of. In only one movie, we've seen amazing creatures, friendly and foes, teachers that are heroes and villains, we've witnessed the wisdom of the legendary professor Dumbldor, the movie made us guess who will be who and on who's side in the chapters to come and above all, we had fun. I will never forget the part where Harry buys all the things he needs to start his wizard journey, the authentic look of the streets, the shops and the bank will be part of the Harry Potter legacy forever.",/review/rw1371192/?ref_=tt_urv
10 November 2001,nicholas_clarke,," As good an adaption as could ever be expected
","To be faced with the challenge of adapting Harry Potter for the Silver screen must have been any director's nightmare- the chance of directing possibly the biggest film of this decade, but also the hardest audience-the millions of fans of the book who know every line and will pick up on every mistake. Being one of the above, I can only say that Christopher Columbus and all of the team working on HP did marvelously. The cast was brilliant (particularly notable are Alan Rickman as Snape, Maggie Smith as McGonagall, and the eerily creepy David Bradley as Argus Filch), the directing wonderful, and the scenery perfect. The only qualm is that it does not track perfectly with the book, but squeezed into 2.5 hours, this can only be expected. Well done all involved!",/review/rw1371192/?ref_=tt_urv
27 February 2017,snperera,9," where the magic began!!
","wow, wow, wow! The Harry Potter movies and books will always have a special place in my heart!! I love them so much and this is the one that started it all! It is so fun, great, and energetic and Daniel Radcliffe is perfect for Harry. Emma Watson and Rupert Grint are great and there is such amazing chemistry between all of them! I love all the movies and books.",/review/rw1371192/?ref_=tt_urv
8 November 2001,Dickoon,8," Valiant, successful attempt to bring the magic to life
","We live in a world where economics is hard. This forces practical limitations when making a movie. Time and money are sadly finite, cinema owners need to be pleased as well as fans and computer animation ain't perfect. Given these limitations, this film is about as close to human perfection as it is possible to achieve. However, it's extremely clear what an immense challenge it is to turn Philosopher's Stone from book to film.",/review/rw1371192/?ref_=tt_urv
23 September 2021,azenyaan,9," Why I'm too late to watch thissss!!
","Cool! I'm so sorry because in 21 years of my life, I've only seen a movie as cool as this. Harry potter, in my first impression, I was amazed and curious about how the next series of this film will be. Watching this film evokes a feeling of dark academia that was buried in the past. Even though this film was produced in 2001, but the quality is quite good and even not inferior to films produced now.",/review/rw1371192/?ref_=tt_urv
24 October 2021,jtrushant,9," A perfect start to a magical franchise
","This movie captures most aspects of the book perfectly. Being the first in the franchise, it has to do a lot of world building. But the writers and the director of this movie managed to keep things simple and to the point.",/review/rw1371192/?ref_=tt_urv
17 March 2019,narine_tevosyan,10," Review
","Harry Potter movies are one of my favorite ones, and I can watch them several times. I watch it every time it's on TV, and there is one channel that shows all the series of this incredible movie every time after the new year. I also want to mention that even my family members like to watch it with me. My grandmother especially likes it. This fact indicates that this movie is interesting not only for children but also for elderly people and it's not weird for me. There are so many things going on in this movie, so many secrets and beautiful scenes. Plus a big thanks for the graphics of the movie, everything is very realistic. For example, the mermaids or the dinosaurs. Moreover, there is a massive animatronic creature in this movie- spider and after watching the movie google about it and found out that Rupert Grint, the actor who plays Ron Weasley, one of the main characters, is afraid of spiders just s much as his character is, and said it was easily the scariest scenes to film. I'm scared of spiders too, and I know how it feels when you see them. Thus, I really appreciate the job that this actor did. In my opinion, despite the fact that he had to play again a guy, who was scaring from spiders, it is again hard to play the role by looking at the creature that gives you goosebumps. Thus, this movie not only good in graphics, but also the cast.",/review/rw1371192/?ref_=tt_urv
6 June 2008,Boba_Fett1138,7," A decent start of the series but also clearly one of the lesser Harry Potter movies.
","No, I'm not a big Harry Potter fan and probably never will be but I can appreciate the qualities of the movies. Definitely for a children movie this movie is of course of very high class, with fabulous looking sets, a whole load of well known British actors and an highly experienced crew involved.",/review/rw1371192/?ref_=tt_urv
10 November 2001,DianeLFletch,10," It was brilliant!
","When I knew the film was being made, I thought how could they make a film that would be up to the standard of such a perfect book. But they did! Sure they missed bits out but they captured the essence of the book brilliantly. One member of the cast was mis-cast for me but my children disagreed.I even found myself believing they were flying and not wondering ""how are they doing that?"" So 10 out 10 Warner Brothers. Bring on the next one!",/review/rw1371192/?ref_=tt_urv
27 January 2022,gbill-74877,8," Entertaining
","Not a perfect story, but a lovely introduction into these characters and J. K. Rowling's magical world of wizards. Lots of great bits here, like the sorting hat, invisibility cloak, troll encounter, and quidditch match (even if the rules for this game are absurd). The casting is excellent, including the principal three (Daniel Radcliffe, Emma Watson, and Rupert Grint) and the teachers at Hogwarts (Alan Rickman, Maggie Smith, and Richard Harris). The film was a little too long and had scenes that seemed a little disconnected, leading to a rather brief, anticlimactic ending, but overall there's a reason the franchise was so popular, and this got it off the ground in good form.",/review/rw1371192/?ref_=tt_urv
16 August 2019,misyelhasanah-06139,10," Great Journey to the Magic World
","I watch this movie again in 2019, because i think it was an amazing movie n i miss the point of the movie when i watch it as a child. I only focusing on the magic thing.
Its good for a children to watch this movie i think, it tells not only about friendship, but also family, bravery and sincerity.
Watching this also makes me remember my childhood days, it bring back all memories i cherish the most.
really love it",/review/rw1371192/?ref_=tt_urv
4 March 2017,zkonedog,9," Visual Awe Vaults It Even Over Book
","If you watch ""Sorcerer's Stone"" without reading the book first, there are certain narrative points that you will miss or not quite be as clear on (as usual). However, watching the movie closely following the reading experience will actually expand upon the Potter myth (I gave the first book four stars) due to this film's ability to lay the groundwork of the series in such stunning visuals and characters.",/review/rw1371192/?ref_=tt_urv
19 November 2001,ktulu34,," Magically Delicious
","I feel, next to Willy Wonka and the Chocolate Factory, Harry Potter and the Sorcerer's Stone is the best book-to-movie adaptation that I've ever seen. The sets were stunning - the actors were first rate - the effects were breathtaking.  The film flowed quite smoothly in it's transition from page to screen, never tripping on the awkward conventions that other books on film have struggled with.   The screenplay, by Steven Kloves, stripped away all unnecessary elements to get to the root of the story.  Though many events from the book were excluded, the essential ones made it to the film. And it makes for one smooth story and very enjoyable movie-going experience.",/review/rw1371192/?ref_=tt_urv
8 September 2016,keithbrown-90195,10," A Truly Magical Start
","It's hard to imagine just how influential the Harry Potter series has been on my life. It was released around the time I was born, and I can't really ever remember a time when it wasn't my favorite world to escape into. Harry Potter and the Philosopher's Stone is the first book I can remember becoming a fan of, and wanting to read it again straight away. I'm not even going to pretend that I can judge this without bringing over my fondness for the books.",/review/rw1371192/?ref_=tt_urv
7 October 2020,waqassaleem-85201,10," One word... Legendary
",A legendary beginning to a legendary franchise. The story of the film is great. Each role fits perfectly with the actor. Has great CGI and visuals. Can't stress this enough... go watch it.,/review/rw1371192/?ref_=tt_urv
18 November 2021,gavin-thelordofthefu-48-460297,8," With spectacular visuals, likeable characters, and a sense of magic and wonder, The Sorcerer's Stone is still a good first entry after 20 years
","During my childhood, the earlier Harry Potter books got me into the franchise and especially Fantasy Literature in general. They had thought provoking writing, likeable characters, and compelling world building. Then I saw this movie adaptation of The Sorcerer's Stone (The Philosopher's Stone in the UK) back in theaters and loved it. It's not a perfect film I'll admit, but it's a very good start to a successful fantasy movie franchise.",/review/rw1371192/?ref_=tt_urv
30 December 2002,bob the moo,," Good but too long and with few strong characters
","Dropped with his aunt and uncle as a baby, Harry grows up in a loveless home and is made to sleep under the stairs.  On his 11th birthday Harry learns the truth of his past when he is visited by Rubeus Hagrid and invited to attend Hogwart's school for wizards and witches.  Whilst learning his craft Harry and his friends notice some strange things and begin to investigate, leading them deeper into a mystery that involves a dark wizard who killed Harry's parents and a quest for a powerful stone that brings immortality.",/review/rw1371192/?ref_=tt_urv
30 November 2004,seremela-1,10," Pure Magic
",This movie is a delight for those of all ages.,/review/rw1371192/?ref_=tt_urv
28 January 2017,EthanBJones_03,8," Awesome Introduction to a great franchise
",Directed By: Chris Columbus,/review/rw1371192/?ref_=tt_urv
22 June 2008,g-bodyl,10," A Magical Movie Moment!
","Harry Potter and the Sorcerer's Stone is what a book adaptation should be. The only things left out of the movie were very minor. This tells the story of a boy whose parents were killed when he was young and been mistreated by his aunt and uncle. He receives a letter about a school named Hogwarts. There, in his first year with his friends Ron and Hermione, he must stop wrongdoing of a couple teachers. The cast was wonderfully casted. Daniel Radcliffe is fantastic and looks the part of Harry. Everyone else is perfect. As I mentioned above, the adaptation is great. The movie even used the same quotations as the books. The music is memorable. I liked John William's Hedwig Theme. The costumes are good-looking and so is everything else. This movie will leave a magical imprint on your minds and this is only the first film. I rate this magical adventure 10/10.",/review/rw1371192/?ref_=tt_urv
26 March 2020,pablosanguinettiz,9," One of my favorites...
","I watched all Harry Potter movies when I was 7 years old. After five years I watched the movies again at 12 years old and I feel this saga a classic, well, it is a classic. I started reading the first book like one day ago. Which my mom gave to me when I was a little kid. I like Harry Potter a lot and I would watch all the saga again",/review/rw1371192/?ref_=tt_urv
5 October 2005,lee_eisenberg,10," Where it all began.
","With the sixth book now out (and one more to go), I feel that I should review ""Harry Potter and the Sorcerer's Stone"". By now, the Harry Potter books have become so well entrenched in our culture that I don't even need to explain the story. But I can say that director Chris Columbus did a great job adapting the book to the silver screen.",/review/rw1371192/?ref_=tt_urv
23 June 2022,jonflottorp,8," The reason i love movies!
",Harry Potter is a magical and fun movie.,/review/rw1371192/?ref_=tt_urv
22 November 2001,zetes,3," How to take advantage of your children's naivety for the sake of cold cash...
","I have, in all my life as a lover of both literature and the cinema, hardly ever come upon a piece of work more unimaginative, more ugly, more uninteresting, more lacking in suspense, more lacking in charm, more greedy, more incoherent... Okay, okay. I'll stop with the superlative negatives. Surely there have been worse, and, yes, off the top of my head, I can think of many that are worse. However, for a book that over 125 million people have read, and for a movie that cemented the record for the biggest opening weekend in history, and also for a book that has had not only kids but critics singing its praises, and also for a movie which one particularly fat-headed critic called the Wizard of Oz of its generation, I am more than severely disappointed. I know that, had it not been so overhyped, it would have been just as bad. Now, however, my anger for it is completely hardened and it's going to be a passionate battle for me for years to come.",/review/rw1371192/?ref_=tt_urv
14 April 2020,KoolCatReviews,7," first year of our magical adventure
",While I look back on this first entry into the Harry Potter series fondly it is not with out a few problems with adaption from the books. Our trio of main actors are very young and as a result we get plently of chessey acting. Looking back however it is great too see the beginning roots of the characters that we get very attached too through out the series. We get too see them grow as actors. A great cast was put together that stayed more or less the same through out the whole franchise. The effects in the movie are handled well for its time despite Harry not actually using any magic. Even though there are better movies in the series I will always look forward to watching this entry.,/review/rw1371192/?ref_=tt_urv
3 March 2013,thesar-2,3," Harry Potter's Philosopher's Sorcerer's Drawl
","First off, I am going to give my modern day thoughts on Harry Potter and the Philosopher's/Sorcerer's Stone since I just now watched it for the first time in about 10½ years. And then, I will tell my story. I will begin with the positives to be nice. To be generous.",/review/rw1371192/?ref_=tt_urv
21 December 2013,SnoopyStyle,8," Great chemistry set up for the rest of the series
",Harry Potter is an orphan living with his ignorant uncle and aunt under their stairs. He finds out that he is actually a wizard and there is a secret world out there.,/review/rw1371192/?ref_=tt_urv
12 May 2007,ametaphysicalshark,," Ultimately, the cons slightly outweigh the pros in a film full of wasted potential
","Well, for starters, the older cast, almost all of whom are instantly recognizable if you've seen much of British television or film, are simply delightful in their roles, with special honors going to Alan Rickman as Professor Snape, Richard Harris as Albus Dumbledore, and Robbie Coltrane as Rubeus Hagrid. Some other positive aspects to the film is that it is a faithful adaptation for the most part, and the child actors certainly aren't the worst I've ever seen. Moreover, John Williams' brilliant score was at the time one of the best in years.",/review/rw1371192/?ref_=tt_urv
29 July 2009,barnabyrudge,6," Perfectly watchable kid's film but hardly the stuff of cinematic gold.
","Not being a reader of the Harry Potter books, I came to the first Harry Potter movie with a totally open mind. There seems to be those who love the book but hate the film; those that love both; and even a few who hate both! Having watched Harry Potter And The Sorcerer's Stone, I must confess that I'm not entirely sure what all the fuss is about. This strikes me as solid but unremarkable, totally overlong but fairly diverting fare.",/review/rw1371192/?ref_=tt_urv
1 October 2006,ccthemovieman-1,8," A Surprise
","This first Harry Potter surprised me. Not a reader of the books nor a proponent of occult beliefs, I still went into this with an open mind and found I enjoyed the movie. I watched the first three films and own the third (""Harry Potter and Prisoner Of Azkaban"").",/review/rw1371192/?ref_=tt_urv
30 November 2005,Lady_Targaryen,8," This movie is okay.
","Of all the Harry Potter's movies, I guess the ''Harry Potter and the Sorcerer's Stone'' was the more more expected of all. I was one of the thousands of teenagers who wanted to watch this movie so badly and I watched it in the first week it came here in Brazil. After 4 Harry Potter's movies, now I feel comfortable to say that the first movie is the one I liked the least. Maybe because it is the one who has less adventure or danger of all, but I cannot say exactly why. I think it will be very difficult for me, being crazy for Harry Potter's books, to give 10 in any of the H.P.'s movies, since the book is SO MUCH better than any of the films. I mean, MANY great parts are never showed in the movies. But if you are one of those people who never read any Harry Potter book, this film will be of vital importance to watch since it is the first of the series.",/review/rw1371192/?ref_=tt_urv
26 June 2002,atzimo,1," Unimaginative and Boring
","Literally anyone could write this story. Nothing is original, the effects are mostly bad, the acting is bad, the direction is bad and the music score was written by John Williams 25 years ago (if you get my meaning).",/review/rw1371192/?ref_=tt_urv
